"package","version","representative_chain"
"escalade","3.2.0","next > styled-jsx > @babel/core > @babel/helper-compilation-targets > browserslist > update-browserslist-db > escalade"
"gensync","1.0.0-beta.2","next > styled-jsx > @babel/core > gensync"
"jsesc","3.1.0","next > styled-jsx > @babel/core > @babel/generator > jsesc"
"json5","2.2.3","next > styled-jsx > @babel/core > json5"
"js-tokens","4.0.0","next > styled-jsx > @babel/core > @babel/code-frame > js-tokens"
"leaflet","1.9.4","leaflet"
"lru-cache","5.1.1","next > styled-jsx > @babel/core > @babel/helper-compilation-targets > lru-cache"
"lucide-react","0.545.0","lucide-react"
"ms","2.1.3","next > styled-jsx > @babel/core > @babel/helper-module-transforms > @babel/helper-module-imports > @babel/traverse > debug > ms"
"nanoid","3.3.16","next > postcss > nanoid"
"next","16.2.12","next"
"node-releases","2.0.51","next > styled-jsx > @babel/core > @babel/helper-compilation-targets > browserslist > node-releases"
"pako","1.0.11","pdf-lib > pako"
"pdf-lib","1.17.1","pdf-lib"
"picocolors","1.1.1","next > postcss > picocolors"
"postcss","8.5.18","next > postcss"
"react","19.2.8","react"
"react-dom","19.2.8","react-dom"
"scheduler","0.27.0","next > react-dom > scheduler"
"semver","6.3.1","next > styled-jsx > @babel/core > semver"
"semver","7.8.5","next > sharp > semver"
"sharp","0.35.0","next > sharp"
"source-map-js","1.2.1","next > postcss > source-map-js"
"styled-jsx","5.1.6","next > styled-jsx"
"tslib","1.14.1","pdf-lib > tslib"
"tslib","2.8.1","next > @swc/helpers > tslib"
"update-browserslist-db","1.2.3","next > styled-jsx > @babel/core > @babel/helper-compilation-targets > browserslist > update-browserslist-db"
"yallist","3.1.1","next > styled-jsx > @babel/core > @babel/helper-compilation-targets > lru-cache > yallist"
